batch,episode_len,loss,entropy,kl,explained_var_old,explained_var_new,win_ratio,pure_mcts_playout_num,learn_rate,collect_data_time_s,train_data_time_s,evaluate_time_s
30,15,1.8460785150527954,1.0536086559295654,3.760217e-05,0.15035837354153037,0.15214252898857916,0.7625,150,0.0002,1697.8436057567596,32.6639518737793,110.89739418029785
60,16,1.916018009185791,1.2584398984909058,3.6713933e-05,0.21061553078798878,0.21286124570273246,0.925,150,0.0002,3784.8129065036774,65.04197764396667,204.16451239585876
90,13,1.8981890678405762,1.1582045555114746,4.5451794e-05,0.22562138327030734,0.22795731362368987,0.875,200,0.0002,5573.036798000336,92.86888694763184,292.3647425174713
120,15,1.6391433477401733,1.0411863327026367,3.7303173e-05,0.19177271735577228,0.19432473470463085,0.925,250,0.0002,7371.668137073517,120.36459589004517,393.3719553947449
150,14,1.5388023853302002,0.8978935480117798,5.372086e-05,0.19889858136521787,0.20308173621731906,0.9125,300,0.0002,9050.35593175888,155.40633916854858,499.3342385292053
180,11,1.4521855115890503,0.8635979294776917,7.9971476e-05,0.23994656221963595,0.2439372537575929,0.9,350,0.0002,10748.90421462059,183.16820740699768,618.9767074584961
210,16,1.3737167119979858,0.7925112247467041,8.342958e-05,0.225983292382118,0.23060286114586448,0.875,400,0.0002,12363.570205450058,211.64788508415222,740.1090948581696
240,13,1.3228623867034912,0.7910563945770264,8.068718e-05,0.2812574658571989,0.28462831721809456,0.8,450,0.0002,13972.23137640953,243.58323740959167,885.1082332134247
270,14,1.397316336631775,0.797624945640564,0.00013233085,0.25662607788918324,0.26174357015208793,0.9,450,0.0002,15593.091274499893,278.2039997577667,1019.3201630115509
300,14,1.3659074306488037,0.7500897645950317,8.8067434e-05,0.2361296955831096,0.23924216873043358,0.875,500,0.0002,17152.39043569565,311.6104998588562,1146.6208126544952
330,16,1.3311938047409058,0.7506735324859619,0.000120935496,0.25328014786272424,0.25718463606011854,0.7875,550,0.0002,18615.35343337059,339.882328748703,1307.7705616950989
360,13,1.3091481924057007,0.7371355295181274,0.00014926589,0.20580382886711046,0.209791831898695,0.7875,550,0.0002,20126.20426797867,370.8702552318573,1471.24977684021
390,14,1.291250228881836,0.7231341004371643,0.00012238952,0.2284184085581773,0.2333361157843994,0.825,550,0.0002,21657.557059288025,400.75162744522095,1626.573323249817
420,14,1.3231745958328247,0.7426624298095703,0.00015761724,0.2621724596515157,0.26751796231265657,0.8625,550,0.0002,23123.23497390747,433.0653281211853,1756.9056169986725
450,13,1.2448161840438843,0.7174246907234192,0.00013856957,0.19335102928823567,0.1969197583481892,0.85,600,0.0002,24587.561022758484,467.4163339138031,1910.7165176868439
480,12,1.2150641679763794,0.6848452091217041,0.00014785033,0.2797652172736619,0.2846238855811408,0.825,650,0.0002,26021.703397274017,498.3264989852905,2074.351720571518
510,14,1.1967569589614868,0.6773651838302612,0.00017080925,0.270139922946647,0.2737355666876118,0.8125,650,0.0002,27518.282365083694,527.6036627292633,2228.5798420906067
540,14,1.3157598972320557,0.6973130702972412,0.00020175928,0.19145703309182494,0.19616368249695038,0.825,650,0.0002,28958.240968227386,556.6797022819519,2388.9128024578094
570,14,1.2425447702407837,0.6966201066970825,0.00017526466,0.23754470166020936,0.24265935985920772,0.8125,650,0.0002,30434.377060174942,584.765549659729,2552.206871986389
600,15,1.2333201169967651,0.6826381683349609,0.00019444953,0.28876664765996574,0.2943867102013429,0.875,650,0.0002,31870.78602528572,614.3874533176422,2708.606061935425
